Date,Visitor,G,Home,G,,Att.,LOG,Notes
2008-10-04,Pittsburgh Penguins,4,Ottawa Senators,3,OT,"13,699",,"at Stockholm, SE"
2008-10-04,New York Rangers,2,Tampa Bay Lightning,1,,"17,085",,"at Prague, CZ"
2008-10-05,Tampa Bay Lightning,1,New York Rangers,2,,"17,085",,"at Prague, CZ"
2008-10-05,Ottawa Senators,3,Pittsburgh Penguins,1,,"13,699",,"at Stockholm, SE"
2008-10-09,Boston Bruins,5,Colorado Avalanche,4,,"18,007",,
2008-10-09,Toronto Maple Leafs,3,Detroit Red Wings,2,,"20,066",,
2008-10-09,Anaheim Ducks,1,San Jose Sharks,4,,"17,496",,
2008-10-09,Calgary Flames,0,Vancouver Canucks,6,,"18,630",,
2008-10-10,Washington Capitals,4,Atlanta Thrashers,7,,"18,545",,
2008-10-10,Montreal Canadiens,1,Buffalo Sabres,2,SO,"18,690",,
2008-10-10,Florida Panthers,4,Carolina Hurricanes,6,,"18,680",,
2008-10-10,Columbus Blue Jackets,5,Dallas Stars,4,OT,"18,532",,
2008-10-10,New York Islanders,1,New Jersey Devils,2,,"16,834",,
2008-10-10,Chicago Blackhawks,2,New York Rangers,4,,"18,200",,
2008-10-10,Nashville Predators,2,St. Louis Blues,5,,"19,150",,
2008-10-11,Vancouver Canucks,5,Calgary Flames,4,OT,"19,289",,
2008-10-11,Atlanta Thrashers,2,Florida Panthers,3,OT,"18,401",,
2008-10-11,Boston Bruins,3,Minnesota Wild,4,,"18,568",,
2008-10-11,Dallas Stars,1,Nashville Predators,3,,"17,113",,
2008-10-11,St. Louis Blues,2,New York Islanders,5,,"16,234",,
2008-10-11,Detroit Red Wings,3,Ottawa Senators,2,,"20,182",,
2008-10-11,New York Rangers,4,Philadelphia Flyers,3,,"19,623",,
2008-10-11,Columbus Blue Jackets,1,Phoenix Coyotes,3,,"17,125",,
2008-10-11,New Jersey Devils,2,Pittsburgh Penguins,1,OT,"17,132",,
2008-10-11,Los Angeles Kings,1,San Jose Sharks,3,,"17,496",,
2008-10-11,Carolina Hurricanes,4,Tampa Bay Lightning,3,OT,"18,552",,
2008-10-11,Montreal Canadiens,6,Toronto Maple Leafs,1,,"19,370",,
2008-10-11,Chicago Blackhawks,2,Washington Capitals,4,,"18,277",,
2008-10-12,Phoenix Coyotes,4,Anaheim Ducks,2,,"17,174",,
2008-10-12,Colorado Avalanche,2,Edmonton Oilers,3,,"16,839",,
2008-10-12,San Jose Sharks,1,Los Angeles Kings,0,,"18,118",,
2008-10-13,Detroit Red Wings,3,Carolina Hurricanes,1,,"18,680",,
2008-10-13,Nashville Predators,3,Chicago Blackhawks,2,SO,"21,712",,
2008-10-13,Buffalo Sabres,7,New York Islanders,1,,"13,523",,
2008-10-13,New Jersey Devils,1,New York Rangers,4,,"18,200",,
2008-10-13,Montreal Canadiens,5,Philadelphia Flyers,3,,"19,323",,
2008-10-13,St. Louis Blues,5,Toronto Maple Leafs,4,SO,"19,045",,
2008-10-13,Vancouver Canucks,1,Washington Capitals,5,,"16,847",,
2008-10-14,Minnesota Wild,4,Atlanta Thrashers,2,,"11,843",,
2008-10-14,Colorado Avalanche,4,Calgary Flames,5,,"19,289",,
2008-10-14,Anaheim Ducks,3,Los Angeles Kings,6,,"14,451",,
2008-10-14,Philadelphia Flyers,2,Pittsburgh Penguins,3,OT,"16,965",,
2008-10-14,Columbus Blue Jackets,2,San Jose Sharks,5,,"17,496",,
2008-10-15,Edmonton Oilers,3,Anaheim Ducks,2,,"16,604",,
2008-10-15,Phoenix Coyotes,1,Chicago Blackhawks,4,,"20,522",,
