Date,Visitor,G,Home,G,,Att.,LOG,Notes
2019-10-02,Vancouver Canucks,2,Edmonton Oilers,3,,"18,347",2:23,
2019-10-02,Washington Capitals,3,St. Louis Blues,2,OT,"18,096",2:32,
2019-10-02,Ottawa Senators,3,Toronto Maple Leafs,5,,"19,612",2:36,
2019-10-02,San Jose Sharks,1,Vegas Golden Knights,4,,"18,588",2:44,
2019-10-03,Arizona Coyotes,1,Anaheim Ducks,2,,"17,174",2:25,
2019-10-03,Montreal Canadiens,3,Carolina Hurricanes,4,SO,"18,680",2:41,
2019-10-03,Calgary Flames,3,Colorado Avalanche,5,,"18,016",2:40,
2019-10-03,Boston Bruins,2,Dallas Stars,1,,"18,532",2:33,
2019-10-03,Minnesota Wild,2,Nashville Predators,5,,"17,455",2:29,
2019-10-03,Winnipeg Jets,4,New York Rangers,6,,"18,006",2:30,
2019-10-03,Buffalo Sabres,3,Pittsburgh Penguins,1,,"18,616",2:29,
2019-10-03,Florida Panthers,2,Tampa Bay Lightning,5,,"19,092",2:27,
2019-10-04,Toronto Maple Leafs,4,Columbus Blue Jackets,1,,"18,776",2:26,
2019-10-04,Winnipeg Jets,5,New Jersey Devils,4,SO,"16,514",2:36,
2019-10-04,Washington Capitals,2,New York Islanders,1,,"13,917",2:27,
2019-10-04,Chicago Blackhawks,3,Philadelphia Flyers,4,,"17,463",2:31,"at O2 Arena (Prague, CZ)"
2019-10-04,Vegas Golden Knights,5,San Jose Sharks,1,,"17,562",2:28,
2019-10-05,San Jose Sharks,1,Anaheim Ducks,3,,"15,795",2:27,
2019-10-05,Boston Bruins,1,Arizona Coyotes,0,,"17,125",2:17,
2019-10-05,New Jersey Devils,2,Buffalo Sabres,7,,"19,070",2:24,
2019-10-05,Vancouver Canucks,0,Calgary Flames,3,,"19,005",2:28,
2019-10-05,Minnesota Wild,2,Colorado Avalanche,4,,"17,090",2:32,
2019-10-05,Los Angeles Kings,5,Edmonton Oilers,6,,"18,347",2:30,
2019-10-05,Tampa Bay Lightning,3,Florida Panthers,4,,"17,424",2:29,
2019-10-05,Detroit Red Wings,5,Nashville Predators,3,,"17,539",2:36,
2019-10-05,New York Rangers,4,Ottawa Senators,1,,"15,135",2:25,
2019-10-05,Columbus Blue Jackets,2,Pittsburgh Penguins,7,,"18,595",2:23,
2019-10-05,Dallas Stars,2,St. Louis Blues,3,,"18,096",2:28,
2019-10-05,Montreal Canadiens,6,Toronto Maple Leafs,5,SO,"19,547",4:03,
2019-10-05,Carolina Hurricanes,3,Washington Capitals,2,OT,"18,573",2:53,
2019-10-06,Tampa Bay Lightning,3,Carolina Hurricanes,4,OT,"14,125",2:39,
2019-10-06,Dallas Stars,3,Detroit Red Wings,4,,"19,515",2:28,
2019-10-06,Winnipeg Jets,1,New York Islanders,4,,"9,923",2:23,
2019-10-07,Buffalo Sabres,3,Columbus Blue Jackets,4,OT,"14,618",2:38,
2019-10-07,St. Louis Blues,3,Toronto Maple Leafs,2,,"19,466",2:25,
2019-10-08,Los Angeles Kings,4,Calgary Flames,3,OT,"18,150",2:33,
2019-10-08,Anaheim Ducks,3,Detroit Red Wings,1,,"18,209",2:19,
2019-10-08,Carolina Hurricanes,6,Florida Panthers,3,,"11,638",2:29,
2019-10-08,San Jose Sharks,2,Nashville Predators,5,,"17,251",2:32,
2019-10-08,Edmonton Oilers,5,New York Islanders,2,,"10,985",2:32,
