Date,Visitor,G,Home,G,,Att.,LOG,Notes
1997-10-01,Detroit Red Wings,3,Calgary Flames,1,,,,
1997-10-01,Dallas Stars,2,Colorado Avalanche,2,OT,,,
1997-10-01,Ottawa Senators,2,Montreal Canadiens,2,OT,,,
1997-10-01,Florida Panthers,1,Philadelphia Flyers,3,,,,
1997-10-01,Chicago Blackhawks,2,Phoenix Coyotes,6,,,,
1997-10-01,Los Angeles Kings,3,Pittsburgh Penguins,3,OT,,,
1997-10-01,Edmonton Oilers,5,San Jose Sharks,3,,,,
1997-10-01,Buffalo Sabres,3,St. Louis Blues,1,,,,
1997-10-01,Carolina Hurricanes,2,Tampa Bay Lightning,4,,,,
1997-10-01,Washington Capitals,4,Toronto Maple Leafs,1,,,,
1997-10-02,Los Angeles Kings,5,Boston Bruins,6,,,,
1997-10-03,Pittsburgh Penguins,4,Carolina Hurricanes,3,,,,
1997-10-03,Colorado Avalanche,4,Calgary Flames,1,,,,
1997-10-03,Detroit Red Wings,8,Edmonton Oilers,2,,,,
1997-10-03,New York Islanders,2,New York Rangers,2,OT,,,
1997-10-03,Ottawa Senators,3,Philadelphia Flyers,5,,,,
1997-10-03,Phoenix Coyotes,2,St. Louis Blues,7,,,,
1997-10-03,New Jersey Devils,4,Tampa Bay Lightning,3,,,,
1997-10-03,Mighty Ducks of Anaheim,2,Vancouver Canucks,3,,,,"at Tokyo, JP"
1997-10-03,Buffalo Sabres,2,Washington Capitals,6,,,,"at (Landover, MD)"
1997-10-04,Montreal Canadiens,4,Boston Bruins,1,,,,
1997-10-04,St. Louis Blues,2,Dallas Stars,1,,,,
1997-10-04,Vancouver Canucks,2,Mighty Ducks of Anaheim,3,,,,"at Tokyo, JP"
1997-10-04,Toronto Maple Leafs,0,New York Islanders,3,,,,
1997-10-04,Carolina Hurricanes,2,Ottawa Senators,3,,,,
1997-10-04,Florida Panthers,5,Pittsburgh Penguins,3,,,,
1997-10-04,Chicago Blackhawks,2,San Jose Sharks,3,,,,
1997-10-04,New Jersey Devils,1,Washington Capitals,4,,,,"at (Landover, MD)"
1997-10-05,Colorado Avalanche,3,Edmonton Oilers,0,,,,
1997-10-05,Los Angeles Kings,2,New York Rangers,2,OT,,,
